"GENE","baseMean.6","log2FoldChange.6","lfcSE.6","stat.6","pvalue.6","padj.6","baseMean.11","log2FoldChange.11","lfcSE.11","stat.11","pvalue.11","padj.11"
"ENSG00000059804",5133.97994032583,-4.24626301461323,0.421089893242148,-10.0839822630733,6.50356288593606e-24,4.68950241161896e-20,1093.45438166967,-4.64217778590095,0.364637789710099,-12.7309289297515,3.9807469179615e-37,8.79309082302287e-34
"ENSG00000079101",75.8692748406417,3.27986576739838,0.511016683047346,6.41831446253291,1.37791404705819e-10,5.41946121199324e-08,52.2432003434524,3.70062295468062,0.568551429737082,6.50886227898841,7.57221038089167e-11,8.79890087521097e-10
"ENSG00000094963",756.89445182991,-3.82292885738417,0.517335873966877,-7.38964577899916,1.47220479948937e-13,1.09816324905359e-10,183.667101784757,-3.32079185932354,0.35431254488206,-9.37249303557381,7.08391617619692e-21,9.95762483834081e-19
"ENSG00000104635",7276.3458194664,-2.92291257721064,0.400099046182546,-7.30547249512076,2.76294097504125e-13,1.86774809912789e-10,1558.90601326659,-3.81788299011615,0.324695242684738,-11.7583582640387,6.39659809808774e-32,6.31317012714885e-29
"ENSG00000111859",3669.18220724292,-2.49909020793338,0.301677679788339,-8.28397450446709,1.19131123905328e-16,2.27796815679615e-13,844.497452002536,-3.01504123944877,0.295292474679245,-10.210355826791,1.78210093588465e-24,5.26537045304976e-22
"ENSG00000112715",2576.75046800487,-2.39518332434242,0.327303507215635,-7.31792746346718,2.51829914307146e-13,1.75728538912651e-10,511.065348403169,-4.06668416953325,0.473882795236516,-8.58162442361631,9.35426313395663e-18,7.18794446477981e-16
"ENSG00000113369",6639.21070954453,-2.63920732769291,0.316890404420223,-8.32845454099994,8.19045092704976e-17,1.7717583445394e-13,1361.41152549931,-3.97542652279107,0.41006856271132,-9.69454107017146,3.18064361568641e-22,5.97330021865771e-20
"ENSG00000114737",331.651712100161,-3.15214073763917,0.468753721391949,-6.72451352125587,1.76180060073016e-11,8.10878097765845e-09,73.9021117597351,-3.58832346211164,0.509722224665702,-7.03976261671742,1.92567616769216e-12,3.56076870931989e-11
"ENSG00000116285",2854.17493157534,-2.20370145660625,0.321944643113591,-6.84497010198339,7.64918450647049e-12,3.67704798319933e-09,599.160010583622,-3.4142565099982,0.399069610731972,-8.55554123436205,1.17316982388898e-17,8.73512497925168e-16
"ENSG00000123358",924.177834452841,-4.74740502022538,0.608528863278197,-7.80144592427499,6.12018320671288e-15,6.30437157750539e-12,201.578217611334,-4.4391245440031,0.692168207916955,-6.41336093341014,1.42345965665357e-10,1.54203697088252e-09
"ENSG00000124253",470.197330023571,-5.19393167901455,0.567445920023419,-9.15317477091066,5.52844398774558e-20,2.39182600685825e-16,103.982866842018,-4.39994844800891,0.615072058319973,-7.15354955324596,8.45622379059314e-13,1.72043356567651e-11
"ENSG00000128016",3138.17060025145,-3.27571370928574,0.499892957158267,-6.55283028572184,5.6456667682297e-11,2.4425412706069e-08,641.38688499919,-4.5295492507286,0.500345496386979,-9.05284305232428,1.39293425266994e-19,1.52033038067295e-17
"ENSG00000131386",2052.13243927882,-4.95222506070217,0.426168901986379,-11.6203341858587,3.24863019667505e-31,3.51371842072374e-27,486.18369499971,-3.69952765786393,0.329744083884343,-11.2193905476149,3.27519744290171e-29,2.20183454759249e-26
"ENSG00000134107",7062.91694405521,-3.49533008461355,0.447049555443563,-7.81866359568456,5.33870708787292e-15,5.77434558624335e-12,1463.33347583262,-4.60243550669201,0.496448101114307,-9.27072839308191,1.84879006658798e-20,2.38885305901997e-18
"ENSG00000135245",4319.81012760915,-5.50712773903455,0.429239759520083,-12.8299571903401,1.11425727417412e-37,2.41036133549345e-33,885.722611941923,-6.37560015128513,0.363359857507159,-17.5462424358737,6.35477360232899e-69,1.47389441545617e-64
"ENSG00000138640",1076.15341018372,-2.52550143318417,0.364893704975223,-6.92119759466843,4.47841297682138e-12,2.25295417475814e-09,284.381588730957,-2.38779680157998,0.290384808342649,-8.22287093876626,1.98688612579193e-16,1.13364928311329e-14
"ENSG00000141232",6776.8169187133,-2.19911994982523,0.310610498289242,-7.07999234390784,1.44162426064466e-12,8.20663579112245e-10,1307.41188121248,-4.12981525892952,0.357495994157672,-11.5520602368151,7.20717377959082e-31,6.4292148098823e-28
"ENSG00000143878",1300.95118001902,-3.00407470713884,0.418479126791654,-7.17855327736444,7.04529362973966e-13,4.23343866107023e-10,277.808460413486,-3.84195442848235,0.489240470785014,-7.85289578010118,4.06539484672007e-15,1.65858813328763e-13
"ENSG00000146072",1551.28654984631,-3.29649044633051,0.507673002456689,-6.493334154817,8.39571819081523e-11,3.49261876737913e-08,368.11877106295,-3.18347881594931,0.476605238401515,-6.67948767543213,2.39779003308902e-11,3.22472104328211e-10
"ENSG00000147872",3217.68854044146,-3.5334739310811,0.431719596784846,-8.18465030866332,2.73095487435808e-16,4.21971541729386e-13,740.741963531752,-3.50552355887232,0.3760135230322,-9.32286565281889,1.1323970040046e-20,1.53592104750765e-18
"ENSG00000149968",6583.37082674378,-5.90906062575934,0.693678806171831,-8.51843904294751,1.61718117040512e-17,4.37285788477544e-14,1390.47469886321,-5.41845063040696,0.574864409091033,-9.42561505760034,4.27592105268627e-21,6.31253065030179e-19
"ENSG00000154027",1175.06829877818,-3.43860210516588,0.380430012199958,-9.03872458768714,1.58510372411769e-19,4.89842339430197e-16,308.270275765304,-2.70291669689487,0.412789137593673,-6.54793561829495,5.8337857090962e-11,6.97273428724157e-10
